,GCP,GCBD,GCBND,SERVICIOS
1969,603.6,90.5,214.2,299.0
1970,646.7,90.0,228.8,327.9
1971,699.9,102.4,239.7,357.8
1972,768.2,116.4,257.4,394.3
1973,849.6,130.5,286.1,432.9
1974,930.2,130.2,321.4,478.6
1975,1030.5,142.2,349.2,539.2
1976,1147.7,168.6,377.7,601.4
1977,1274.0,192.0,408.4,673.6
1978,1422.3,213.3,450.2,758.7
1979,1585.4,226.3,511.6,847.5
1980,1750.7,226.4,573.4,950.9
1981,1934.0,243.9,625.4,1064.6
1982,2071.3,253.0,646.3,1172.0
1983,2281.6,295.0,678.8,1307.8
1984,2492.3,342.2,721.5,1428.6
1985,2712.8,380.4,757.2,1575.2
1986,2886.3,421.4,774.2,1690.7
1987,3076.3,442.0,814.3,1820.0
1988,3330.0,475.1,862.3,1992.7
1989,3576.8,494.3,929.5,2153.0
1990,3809.0,497.1,994.2,2317.7
1991,3943.4,477.2,1020.3,2446.0
1992,4197.6,508.1,1055.2,2634.3
1993,4452.0,551.5,1090.8,2809.6
1994,4721.0,607.2,1139.4,2974.4
1995,4962.6,635.7,1179.8,3147.1
1996,5244.6,676.3,1241.4,3326.9
1997,5536.8,715.5,1291.0,3530.3
1998,5877.2,779.3,1329.1,3768.8
1999,6279.1,855.6,1431.5,3992.0
2000,6762.1,912.6,1540.6,4309.0
2001,7065.6,941.5,1584.1,4540.0
2002,7342.7,985.4,1613.4,4743.9
2003,7723.1,1017.8,1704.8,5000.5
2004,8212.7,1080.6,1821.4,5310.6
2005,8747.1,1128.6,1954.3,5664.2
2006,9260.3,1158.3,2081.3,6020.7
2007,9706.4,1188.0,2179.0,6339.4
2008,9976.3,1098.8,2264.5,6613.1
2009,9842.2,1012.1,2167.9,6662.2
2010,10185.8,1049.0,2268.9,6868.0
2011,10641.1,1093.5,2424.6,7123.0
2012,11006.8,1144.2,2493.5,7369.1
2013,11317.2,1189.4,2540.6,7587.2
2014,11822.8,1242.1,2620.9,7959.8
2015,12297.5,1307.6,2615.4,8374.5
2016,12770.0,1350.2,2648.1,8771.6
2017,13340.4,1410.7,2761.6,9168.1
2018,13993.3,1481.6,2890.3,9621.4
2019,14544.6,1534.4,2977.9,10032.4
